ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC0077_hypothetical_protein	76681	76776	+	138	2	0.34972	3.18276	216	2	0.459771	4.89272	629	8	1.24948	7.40738	1409	14	2.27382	11.9081	592	8	1.17278	8.1116	1063	14	2.25374	10.989	6	0	1.99533	50.91	1	0	0.0732031	2.34351	290	9	21.1493	312.356	435	13	18.2112	272.051
VC0078_ferritin	76782	77327	+	92657	1219	40.9305	372.504	89445	886	33.1873	353.166	160230	2108	55.4815	328.916	526996	5218	148.245	776.367	352341	4636	121.67	841.54	403964	5315	149.294	727.941	897	28	51.9977	1326.7	1531	47	19.5358	625.417	10284	318	130.734	1930.81	18455	571	134.676	2011.88
VC0079_universal_stress_protein_UspB	77403	77726	+	19656	259	14.6507	133.334	14705	146	9.20607	97.9676	53793	708	31.4286	186.321	71381	707	33.8804	177.434	63132	831	36.7844	254.422	55899	736	34.8575	169.962	27	1	2.64088	67.3808	689	21	14.8344	474.906	2591	80	55.576	820.804	4352	135	53.5869	800.518
VC0080_hypothetical_protein	77859	79055	+	34565	455	6.95777	63.3219	36219	359	6.12374	65.1666	70205	924	11.0774	65.6712	51196	507	6.56256	34.3685	20620	271	3.2447	22.4422	26309	346	4.43065	21.6034	160	5	4.22646	107.836	986	31	5.73322	183.543	296	9	1.71468	25.3242	745	23	2.47741	37.0092
VC0081_hypothetical_protein	79052	79963	-	13246	174	3.50051	31.8577	11868	118	2.63433	28.0336	21260	280	4.40399	26.1085	54026	535	9.09187	47.6147	23064	303	4.76467	32.9552	47477	625	10.4969	51.1817	132	4	4.57766	116.797	1277	40	9.74823	312.078	828	26	6.29701	93.0008	1177	36	5.13843	76.7614
VC0082_hypothetical_protein	80077	81618	+	38941	512	6.08372	55.3673	52350	518	6.86951	73.1028	127712	1680	15.6398	92.7186	151931	1504	15.1151	79.159	81287	1070	9.9274	68.6636	112199	1476	14.665	71.505	164	5	3.36224	85.786	581	18	2.62196	83.9392	303	9	1.36227	20.1194	384	12	0.991063	14.8052
VC0083_ubiquinone/menaquinone_biosynthesis_methyltransferase	81663	82445	+	75835	998	23.3468	212.477	86923	861	22.4771	239.193	157001	2066	37.8876	224.612	195732	1938	38.3728	200.961	111521	1467	26.839	185.634	164392	2163	42.3417	206.454	227	7	9.17079	233.988	927	29	8.24378	263.915	1520	47	13.4666	198.889	3717	115	18.9042	282.404
VC0084_hypothetical_protein	82454	83077	+	34880	459	13.4789	122.67	41822	414	13.5746	144.456	104932	1381	31.7849	188.433	88166	873	21.6961	113.624	74715	983	22.5703	156.109	76098	1001	24.6025	119.96	42	1	2.12985	54.3421	553	17	6.17291	197.619	785	24	8.72979	128.931	750	23	4.78791	71.525
VC0085_putative_ubiquinone_biosynthesis_protein_UbiB	83074	84708	+	89612	1179	13.2032	120.161	97306	963	12.042	128.147	243318	3202	28.1011	166.594	220596	2184	20.6973	108.393	131478	1730	15.1432	104.739	163822	2156	20.1937	98.4623	456	14	8.81659	224.951	1646	51	7.00537	224.269	4062	126	17.2231	254.368	6307	195	15.3512	229.327
VC0086_twin_arginine_translocase_protein_A	84768	85016	+	62387	821	60.563	551.177	74075	733	60.3993	642.747	79598	1047	60.5692	359.078	351322	3478	217.181	1137.39	132379	1742	100.458	694.825	234396	3084	190.368	928.215	41	1	5.223	133.262	528	16	14.8059	473.995	412	13	11.5098	169.989	1041	32	16.6944	249.393
VC0087_sec-independent_translocase	85020	85421	+	67717	891	40.6554	370	87780	869	44.2653	471.054	215933	2841	101.619	602.438	403470	3995	154.254	807.836	179467	2361	84.2281	582.57	243274	3201	122.193	595.801	313	10	24.6597	629.18	607	19	10.5268	337.004	541	17	9.34706	138.047	1007	31	9.98752	149.2
VC0088_hypothetical_protein	85510	86262	+	13008	171	4.16445	37.9002	9342	92	2.51208	26.7326	25079	330	6.29352	37.3104	48588	481	9.90558	51.8761	16760	221	4.19443	29.0111	21158	278	5.66698	27.6316	353	11	14.8301	378.383	1142	35	10.5609	338.096	564	17	5.19617	76.7425	636	20	3.36366	50.2486
VC0089_cytochrome_c551_peroxidase	86574	87575	+	45811	603	11.0179	100.273	29676	294	5.99492	63.7957	10082	133	1.9007	11.2681	10684	106	1.63632	8.56951	7825	103	1.47118	10.1756	8229	108	1.6558	8.07352	468	15	14.7707	376.866	1469	45	10.2057	326.722	20077	622	138.959	2052.29	37773	1169	150.079	2241.98
VC0090_DNA-damage-inducible_protein_F	87681	89045	-	7375	97	1.3017	11.8467	7034	70	1.0428	11.0971	23281	306	3.22098	19.0952	21199	210	2.3827	12.4784	13421	177	1.85177	12.8079	11165	147	1.64869	8.03886	23	1	0.532723	13.5922	1256	39	6.40366	205.006	640	20	3.25078	48.011	1007	31	2.93621	43.8632
VC0091_O-methyltransferase-related_protein	89116	89985	-	16447	216	4.5565	41.4682	15821	157	3.68151	39.1773	54691	720	11.8767	70.4099	51653	511	9.11264	47.7235	154239	2029	33.4034	231.038	251176	3305	58.2174	283.863	389	12	14.1422	360.832	1955	61	15.6452	500.862	2221	69	17.7072	261.519	3271	101	14.9704	223.638
VC0092_LexA_repressor	90013	90642	-	44967	592	17.2111	156.636	88040	872	28.3036	301.196	178980	2355	53.6976	318.34	301193	2982	73.4113	384.459	205651	2706	61.5314	425.587	189208	2490	60.5876	295.419	88	3	4.41998	112.774	858	27	9.48615	303.688	1229	38	13.537	199.929	2812	87	17.7802	265.613
VC0093_glycerol-3-phosphate_acyltransferase	90962	93388	+	84002	1105	8.33612	75.8661	188851	1870	15.7413	167.513	184277	2425	14.3345	84.9803	180398	1786	11.4001	59.7031	86166	1134	6.68439	46.2331	108443	1427	9.00338	43.8996	40	1	0.520903	13.2906	1755	54	5.03083	161.056	1575	49	4.49792	66.43	2672	83	4.38044	65.4381
VC0094_4-hydroxybenzoate_octaprenyltransferase	93464	94318	-	13070	172	3.68453	33.5325	9819	97	2.32499	24.7417	34181	450	7.55315	44.778	33526	332	6.01856	31.5196	29601	389	6.52327	45.1187	27519	362	6.49037	31.6464	29	1	1.07282	27.3726	666	21	5.42337	173.623	911	28	7.39065	109.153	1295	40	6.03093	90.0942
VC0095_chorismate--pyruvate_lyase	94319	94870	-	20673	272	9.03268	82.2054	21693	215	7.96122	84.7204	39990	526	13.6962	81.1966	94585	936	26.3172	137.825	37038	487	12.6506	87.4992	48502	638	17.7298	86.4486	58	2	3.32556	84.85	805	25	10.1601	325.264	302	9	3.79732	56.0829	547	17	3.94828	58.9822
VC0096_hypothetical_protein	94893	94991	-	1246	16	3.06095	27.8574	1543	15	3.18384	33.8813	1830	24	3.52392	20.8912	8840	88	13.8291	72.424	1455	19	2.79418	19.3261	3789	50	7.78741	37.9707	0.5	0	0.161188	4.11263	56	2	3.97388	127.219	58	2	4.10038	60.5587	186	6	7.54848	112.764
VC0097_flagellar_basal_body-associated_protein_FliL-like_protein	95062	95472	+	15357	202	9.01753	82.0675	16142	160	7.96132	84.7214	44383	584	20.4284	121.107	101107	1001	37.8065	197.995	47582	626	21.8412	151.066	67616	890	33.217	161.963	33	1	2.54283	64.8792	557	17	9.44767	302.456	434	13	7.33379	108.313	1360	42	13.1925	197.079
VC0098_methyl-accepting_chemotaxis_protein	95592	97571	-	9338	123	1.13599	10.3385	7978	79	0.815192	8.67497	44103	580	4.20556	24.9322	33294	330	2.57922	13.5075	23866	314	2.26961	15.6979	34499	454	3.5112	17.1203	31	1	0.494884	12.6267	1020	32	3.58433	114.748	2030	63	7.10678	104.96	4286	133	8.61349	128.674
VC0099_glpG_protein	97946	98779	-	17332	228	5.0092	45.5882	25719	255	6.2434	66.4399	73128	962	16.5668	98.2147	118378	1172	21.7869	114.099	40542	533	9.15961	63.3532	52507	691	12.696	61.9045	39	1	1.47913	37.7394	1115	35	9.30857	298.003	1368	42	11.3779	168.041	1870	58	8.92831	133.377
VC0100_thiosulfate_sulfurtransferase	98786	99106	-	12852	169	9.66909	87.9973	18868	187	11.9231	126.881	62409	821	36.8043	218.19	134104	1328	64.2481	336.471	46133	607	27.1318	187.659	68334	899	43.0112	209.718	0.5	0	0.0493637	1.25949	434	13	9.43176	301.947	742	23	16.0648	237.262	906	28	11.2603	168.214
VC0101_hypothetical_protein	99187	99402	-	0.5	0	0.000559882	0.00509542	352	3	0.331067	3.52309	1346	18	1.18143	7.00397	372	4	0.265261	1.38919	308	4	0.269606	1.86475	150	2	0.140523	0.685177	0.5	0	0.0734716	1.87459	60	2	1.94073	62.1304	0.5	0	0.0161122	0.237961	0.5	0	0.0092492	0.138171
VC0102_hypothetical_protein	99635	99775	-	631	8	1.08509	9.87529	196	2	0.2831	3.01264	1834	24	2.47214	14.6558	2470	24	2.70481	14.1653	3101	41	4.1686	28.8325	2171	29	3.12339	15.2294	0.5	0	0.112831	2.87884	95	3	4.71899	151.073	26	1	1.28667	19.0029	86	3	2.44311	36.4968
VC0103_hypothetical_protein	99867	100634	-	7622	100	2.39243	21.7732	6002	59	1.58239	16.8392	18405	242	4.52837	26.8459	39027	386	7.80079	40.8532	10868	143	2.66668	18.4443	13909	183	3.65254	17.8094	28	1	1.15332	29.4265	923	29	8.36873	267.915	291	9	2.62857	38.8215	339	10	1.75783	26.2597
VC0104_hypothetical_protein	100690	100824	-	0.5	0	0.000898318	0.00817549	134	1	0.202214	2.15189	810	11	1.14073	6.76267	1252	12	1.43241	7.50163	355	5	0.498586	3.44851	549	7	0.825206	4.02362	0.5	0	0.117884	3.00774	153	5	7.94035	254.201	0.5	0	0.0258516	0.381804	0.5	0	0.0148401	0.221692
VC0105_delta-aminolevulinic_acid_dehydratase	100811	101854	+	87186	1147	20.1246	183.152	103225	1022	20.013	212.971	210995	2776	38.1759	226.321	510221	5052	74.9968	392.763	204191	2687	36.8442	254.836	298179	3923	57.5821	280.765	396	12	11.995	306.046	1253	39	8.35449	267.459	3923	121	26.0589	384.865	6279	194	23.943	357.677
VC0106_hypothetical_protein	101958	102389	+	5402	71	3.01746	27.4616	2740	27	1.28554	13.6802	6801	89	2.97781	17.6536	14169	140	5.04	26.3948	4596	60	2.00687	13.8807	10743	141	5.02045	24.4793	0.5	0	0.0366506	0.935121	268	8	4.32425	138.436	218	7	3.5043	51.7552	268	8	2.47303	36.9439
VC0107_hypothetical_protein	102908	103045	-	231	3	0.405935	3.69437	0.5	0	0.000738008	0.00785361	124	2	0.170806	1.0126	856	8	0.957904	5.0166	57	1	0.0783017	0.54158	132	2	0.194065	0.946244	0.5	0	0.115302	2.94188	96	3	4.87308	156.006	0.5	0	0.0252855	0.373443	0.5	0	0.0145152	0.216837
VC0108_DNA_polymerase_I	103098	105902	+	70439	927	6.04784	55.0407	107271	1062	7.73599	82.3236	286706	3772	19.2957	114.392	518519	5134	28.3501	148.471	315232	4148	21.1577	146.339	412842	5432	29.6552	144.596	780	24	8.78829	224.229	3296	102	8.17452	261.698	4428	137	10.9409	161.586	6909	214	9.79963	146.394
VC0109_hypothetical_protein	105855	105968	-	0.5	0	0.00106526	0.00969483	137	1	0.245162	2.60893	213	3	0.355715	2.10882	0.5	0	0.00067836	0.00355261	0.5	0	0.000832738	0.0057597	0.5	0	0.000891223	0.00434552	0.5	0	0.139791	3.5667	164	5	10.093	323.115	0.5	0	0.0306559	0.452758	0.5	0	0.017598	0.262891
VC0110_hypothetical_protein	106165	106299	+	4494	59	8.07408	73.4813	25143	249	37.9423	403.768	3596	47	5.06426	30.0229	59785	592	68.4	358.215	18571	244	26.0824	180.401	11509	151	17.2993	84.3495	0.5	0	0.117884	3.00774	0.5	0	0.0259489	0.830723	0.5	0	0.0258516	0.381804	0.5	0	0.0148401	0.221692
VC0111_ribosome_biogenesis_GTP-binding_protein_YsxC	106649	107311	-	40986	539	14.9054	135.652	38234	379	11.6789	124.283	94274	1240	26.8742	159.321	111148	1100	25.7402	134.803	63618	837	18.0858	125.092	89492	1178	27.2283	132.763	136	4	6.49036	165.598	759	23	7.97328	255.255	510	16	5.33746	78.8292	1138	35	6.83686	102.134
VC0112_cytochrome_c4	107409	108080	+	468040	6158	167.929	1528.3	246575	2441	74.3085	790.763	573237	7543	161.218	955.761	858469	8500	196.142	1027.21	543613	7153	152.47	1054.57	735021	9671	220.634	1075.79	387	12	18.2212	464.904	1971	61	20.4276	653.966	15009	465	154.971	2288.78	24464	757	145.003	2166.16
VC0113_methyltransferase-related_protein	108252	108920	+	65633	864	23.6543	215.275	39159	388	11.8541	126.146	101268	1332	28.6086	169.603	53177	527	12.2044	63.9151	24374	321	6.867	47.4962	38934	512	11.7394	57.2404	96	3	4.54028	115.843	442	14	4.6015	147.312	209	6	2.16766	32.0143	618	19	3.67946	54.9664
VC0114_hypothetical_protein	108920	109468	+	103590	1363	45.5095	414.177	114845	1137	42.3783	450.974	147417	1940	50.7654	300.957	128062	1268	35.8268	187.627	50704	667	17.4132	120.44	75070	988	27.5918	134.535	113	4	6.51457	166.216	142	4	1.80203	57.6898	387	12	4.89275	72.2612	420	13	3.04818	45.5359
VC0115_hypothetical_protein	109475	109966	+	89925	1183	44.0924	401.28	99224	982	40.8646	434.866	185337	2439	71.2331	422.297	125207	1240	39.0945	204.74	44120	581	16.9111	116.967	61588	810	25.2644	123.187	158	5	10.1663	259.389	457	14	6.47274	207.217	414	13	5.84173	86.2767	577	18	4.67376	69.8199
VC0116_coproporphyrinogen_III_oxidase	110051	111493	+	103750	1365	17.3216	157.642	90301	894	12.6631	134.756	195613	2574	25.5996	151.765	166472	1648	17.6988	92.6899	92217	1213	12.0355	83.2442	123510	1625	17.2517	84.1176	181	6	3.96553	101.179	1449	45	6.98806	223.715	2819	87	13.5442	200.034	4720	146	13.0182	194.474
VC0117_hemY_protein	111557	112753	-	29885	393	6.01571	54.7483	32075	318	5.4231	57.7106	57526	757	9.07683	53.811	69216	685	8.87246	46.4656	58051	764	9.13472	63.181	53543	705	9.01709	43.9664	165	5	4.35854	111.206	944	29	5.48901	175.724	4372	135	25.3263	374.045	6975	216	23.1945	346.496
VC0118_uroporphyrin-III_C-methyltransferase,_putative	112750	113949	-	35687	470	7.16565	65.2138	45020	446	7.59273	80.799	78144	1028	12.2992	72.9146	83359	825	10.6586	55.82	53487	704	8.39549	58.068	70499	928	11.8429	57.7449	144	5	3.7943	96.8096	1497	46	8.68272	277.967	4441	137	25.6616	378.998	5190	161	17.2155	257.178
VC0119_uroporphyrinogen-III_synthase	113933	114715	-	42594	560	13.1131	119.341	70981	703	18.3547	195.324	65541	862	15.8164	93.7657	68294	676	13.3889	70.1184	57079	751	13.7368	95.0119	69453	914	17.8887	87.2236	28	1	1.1312	28.862	750	23	6.66972	213.524	654	20	5.7942	85.5748	1074	33	5.46223	81.5986
VC0120_porphobilinogen_deaminase	114761	115714	-	29077	383	7.3455	66.8506	28614	283	6.07152	64.6109	99997	1316	19.8014	117.39	105542	1045	16.9786	88.9178	43771	576	8.64391	59.7863	65710	865	13.8878	67.7156	258	8	8.55293	218.224	1176	36	8.58159	274.73	2182	68	15.863	234.281	2494	77	10.4082	155.485
VC0121_hypothetical_protein	115891	116037	-	256	3	0.422136	3.84181	626	6	0.867028	9.22659	89	1	0.115037	0.681985	1656	16	1.73891	9.10676	443	6	0.571042	3.94965	786	10	1.08434	5.28712	22	1	4.76056	121.463	118	4	5.6206	179.937	12	0	0.569444	8.41014	20	1	0.544816	8.13883
VC0122_adenylate_cyclase	116053	118584	+	165268	2175	15.7203	143.069	275608	2729	22.0197	234.325	1.08E+06	14204	80.4881	477.165	927880	9187	56.2041	294.345	536589	7060	39.8994	275.967	660522	8691	52.5642	256.298	518	16	6.46585	164.973	2322	72	6.38004	204.25	4493	139	12.2989	181.643	8882	275	13.957	208.499
VC0123_frataxin-like_protein	118690	119004	-	36518	481	27.999	254.816	28710	284	18.4891	196.754	90677	1193	54.4965	323.076	183593	1818	89.6386	469.443	76151	1002	45.6418	315.685	106300	1399	68.1865	332.471	45	1	4.52763	115.52	217	7	4.80599	153.858	787	24	17.3647	256.46	1017	31	12.8814	192.432
VC0125_diaminopimelate_decarboxylase	119229	120482	+	68534	902	13.168	119.841	91484	906	14.7641	157.114	275205	3621	41.4483	245.721	724067	7169	88.5924	463.964	405981	5342	60.9778	421.757	622409	8190	100.051	487.837	184	6	4.63932	118.37	1581	49	8.77473	280.913	3324	103	18.3794	271.447	6079	188	19.2954	288.248
VC0126_diaminopimelate_epimerase	120494	121324	+	39359	518	11.4164	103.9	29630	293	7.2188	76.8198	118564	1560	26.9573	159.813	237720	2354	43.9093	229.956	150624	1982	34.1533	236.224	185437	2440	45.0001	219.416	75	2	2.85477	72.8381	864	27	7.23917	231.754	1860	58	15.5259	229.303	3820	118	18.3045	273.445
VC0127_hypothetical_protein	121338	122036	+	21890	288	7.55014	68.713	10432	103	3.0222	32.1612	57605	758	15.5742	92.3299	77124	764	16.9396	88.7136	45644	601	12.3068	85.1209	58917	775	17.0012	82.8963	34	1	1.5389	39.2644	443	14	4.41369	141.299	908	28	9.01266	133.108	1195	37	6.80903	101.718
VC0128_site-specific_tyrosine_recombinase_XerC	122005	122940	+	42949	565	11.0588	100.645	29654	294	6.41333	68.2483	135570	1784	27.3623	162.215	124419	1232	20.4006	106.839	85652	1127	17.2402	119.243	132127	1739	28.4626	138.781	246	8	8.31211	212.08	784	24	5.8312	186.679	463	14	3.43077	50.6692	899	28	3.82402	57.1259
VC0129_hypothetical_protein	122943	123662	+	14532	191	4.86588	44.2838	9423	93	2.65016	28.202	52774	694	13.8514	82.1162	46355	459	9.88408	51.7635	41129	541	10.7655	74.4608	47709	628	13.3649	65.166	165	5	7.25008	184.982	332	10	3.21116	102.802	370	11	3.56529	52.656	353	11	1.95262	29.1696
VC0130_GGDEF_family_protein	123772	126261	+	65964	868	6.38039	58.0672	60982	604	4.95437	52.7226	156209	2055	11.8436	70.2132	134364	1330	8.27612	43.3425	93121	1225	7.04109	48.7002	112185	1476	9.0783	44.2649	271	8	3.43979	87.7646	1955	61	5.46229	174.869	2330	72	6.48565	95.7868	4867	151	7.77694	116.177
VC0131_hypothetical_protein	126294	126890	-	6439	85	2.60098	23.6712	9638	95	3.27004	34.7985	21231	279	6.72242	39.8531	27380	271	7.04297	36.8845	11123	146	3.51231	24.2932	12195	160	4.12126	20.0949	133	4	7.05007	179.879	724	22	8.44784	270.448	536	17	6.23076	92.0223	628	19	4.19069	62.6035
VC0132_hypothetical_protein	126887	128431	-	33424	440	5.21166	47.4307	46185	457	6.04875	64.3685	106876	1406	13.0627	77.441	106088	1050	10.5339	55.1665	45014	592	5.48678	37.9497	63026	829	8.22181	40.0887	61	2	1.24816	31.8462	1469	45	6.61649	211.819	1899	59	8.52119	125.85	3193	99	8.22478	122.867
VC0133_hypothetical_protein	128444	128632	+	403	5	0.516074	4.69673	1248	12	1.34236	14.2849	2024	27	2.03167	12.0445	2317	23	1.88946	9.8952	1523	20	1.52461	10.5451	2149	28	2.30236	11.2261	0.5	0	0.0840234	2.14382	66	2	2.4414	78.1587	0.5	0	0.0184261	0.272137	29	1	0.613497	9.16484
VC0134_hypothetical_protein	128715	129542	-	72376	952	21.0695	191.751	54675	541	13.3689	142.267	241707	3180	55.155	326.98	967421	9578	179.341	939.218	131320	1728	29.8842	206.697	241938	3183	58.9241	287.308	286	9	10.9257	278.763	1156	36	9.72088	311.203	476	15	3.98771	58.8947	1254	39	6.03066	90.0901
VC0135_lysophospholipase_L2	129657	130673	-	12099	159	2.86695	26.0918	7646	76	1.52178	16.1942	31284	412	5.81072	34.4482	88592	877	13.3681	70.0095	44831	590	8.30427	57.4372	44345	583	8.79115	42.8648	54	2	1.67914	42.8425	966	30	6.61206	211.677	283	9	1.92981	28.5015	693	21	2.71276	40.5251
VC0136_homoserine/homoserine_lactone_efflux_protein	130748	131365	+	27209	358	10.6168	96.622	32411	321	10.6223	113.039	47423	624	14.5046	85.9888	106799	1057	26.5369	138.976	48091	633	14.6688	101.458	45750	602	14.9348	72.8209	62	2	3.17464	80.9994	773	24	8.71259	278.924	1262	39	14.1709	209.29	2373	73	15.2963	228.506
VC0137_hypothetical_protein	131313	132611	+	34474	454	6.39414	58.1923	43469	430	6.772	72.0651	80726	1062	11.7365	69.5787	160119	1585	18.912	99.0432	80329	1057	11.647	80.5575	91522	1204	14.2019	69.247	0.5	0	0.0121698	0.310506	1270	39	6.80428	217.831	1975	61	10.5418	155.692	3167	98	9.70389	144.963
VC0138_hypothetical_protein	132619	132738	-	915	12	1.85114	16.847	5129	51	8.7156	92.7482	734	10	1.16399	6.9006	1759	17	2.26614	11.8679	1513	20	2.39281	16.5501	1424	19	2.41023	11.752	0.5	0	0.132743	3.38687	97	3	5.66863	181.475	0.5	0	0.0291102	0.42993	32	1	1.06949	15.9767
VC0139_DPS_family_protein	132791	133261	-	35428	466	18.1474	165.157	116850	1157	50.2739	534.996	17358	228	6.96952	41.318	26391	261	8.60848	45.0832	18611	245	7.45227	51.5442	23601	311	10.1141	49.3154	206	6	13.847	353.301	1127	35	16.6755	533.848	1453	45	21.4186	316.332	1559	48	13.1923	197.076
VC0140_hypothetical_protein	133431	133760	-	8609	113	6.29973	57.3331	3318	33	2.03935	21.702	7927	104	4.54689	26.9557	13126	130	6.11653	32.0326	4678	62	2.67597	18.5086	6740	89	4.12628	20.1193	24	1	2.30464	58.8018	323	10	6.82747	218.574	93	3	1.95844	28.9242	99	3	1.19677	17.8782
VC0141_hypothetical_protein	133799	133903	+	1215	16	2.8126	25.5971	1519	15	2.95349	31.43	1937	25	3.51477	20.8369	4486	44	6.61294	34.6324	2983	39	5.39805	37.336	2907	38	5.62997	27.4512	0.5	0	0.151888	3.87536	36	1	2.40726	77.0656	0.5	0	0.0333088	0.491939	53	2	2.02682	30.278
VC0142_hypothetical_protein	133965	134333	+	55547	731	36.3394	330.721	49710	492	27.3154	290.68	70985	934	36.4016	215.803	207518	2055	86.4523	452.756	97109	1278	49.6625	343.495	114099	1501	62.4495	304.498	102	3	8.75669	223.423	409	13	7.7291	247.438	852	26	16.0404	236.901	1351	42	14.6009	218.118
VC0143_hypothetical_protein	134836	135093	+	563	7	0.5274	4.79981	384	4	0.302141	3.21527	0.5	0	0.000367145	0.00217658	3118	31	1.85999	9.7409	59	1	0.0432052	0.298832	427	6	0.334649	1.63172	0.5	0	0.0614646	1.56824	104	3	2.81419	90.0931	322	10	8.68051	128.203	540	17	8.35667	124.838
VC0144_hypothetical_protein	135210	135839	+	53265	701	20.3871	185.541	28560	283	9.18162	97.7074	91982	1210	27.5965	163.603	52523	520	12.8017	67.0433	14941	197	4.47039	30.9198	25126	331	8.04577	39.2304	62	2	3.11407	79.4541	1065	33	11.7748	376.956	1211	37	13.3388	197.001	2262	70	14.3026	213.662
VC0145_hypothetical_protein	135888	136154	-	11206	147	10.1422	92.3034	20028	198	15.2254	162.023	14768	194	10.4771	62.1123	29427	291	16.9603	88.822	18029	237	12.7558	88.2263	19572	258	14.82	72.2609	0.5	0	0.0593849	1.51518	351	11	9.17653	293.776	876	27	22.8163	336.975	885	27	13.2323	197.673
VC0146_hypothetical_protein	136151	136750	-	36067	475	14.496	131.926	75585	748	25.5165	271.537	46500	612	14.6497	86.8488	106393	1053	27.2305	142.608	61317	807	19.2651	133.248	95892	1262	32.2441	157.219	27	1	1.42405	36.3339	674	21	7.82503	250.51	1091	34	12.6189	186.369	2046	63	13.5847	202.938
VC0147_cell_division_protein_FtsY	136954	138129	+	142314	1873	29.1591	265.374	121958	1208	20.9886	223.353	257939	3394	41.4267	245.594	262536	2599	34.2547	179.394	135666	1785	21.7295	150.294	230277	3030	39.4737	192.47	357	11	9.59883	244.909	1313	41	7.77106	248.781	1129	35	6.657	98.3175	3121	97	10.564	157.812
VC0148_cell_division_ATP-binding_protein_FtsE	138151	138852	+	54070	711	18.5696	169	75304	746	21.7226	231.164	135481	1783	36.4722	216.221	150087	1486	32.8242	171.902	88709	1167	23.8159	164.724	138303	1820	39.7382	193.76	38	1	1.71259	43.6959	747	23	7.41064	237.243	838	26	8.28225	122.321	1608	50	9.12306	136.287
VC0149_cell_division_protein_FtsX	138842	139834	+	41327	544	10.0297	91.279	45767	453	9.32937	99.2797	94523	1244	17.9815	106.602	96963	960	14.9852	78.4785	74391	979	14.1132	97.6151	85466	1125	17.3531	84.6119	28	1	0.891732	22.7521	1320	41	9.2537	296.247	1578	49	11.0209	162.768	3018	93	12.0999	180.756
